#CODIGO,VALOR,DATA_INICIO,DATA_FIM
"12016260000051",1.70,"28/02/2012","30/06/2012"
"12016320000052",3.00,"01/07/2012",
"12016640063041",3.00,"01/07/2012",
"12016640063041",3.50,"28/02/2012","30/06/2012"
"12016780000041",3.00,"01/07/2012",
"12016780000041",3.50,"28/02/2012","30/06/2012"
"12016780000052",3.00,"01/07/2012",
"12016960000041",3.00,"01/07/2012",
"12016960000041",3.50,"28/02/2012","30/06/2012"
"12017240000052",3.00,"01/07/2012",
"12017280000052",3.00,"01/07/2012",
"12017280032041",3.00,"01/07/2012",
"12017280032041",3.50,"28/02/2012","30/06/2012"
"12017280032051",3.00,"01/07/2012",
"12017280032051",1.70,"28/02/2012","30/06/2012"
"12017280155041",3.00,"01/07/2012",
"12017280155041",3.50,"28/02/2012","30/06/2012"
"12017280155051",3.00,"01/07/2012",
"12017280155051",1.70,"28/02/2012","30/06/2012"
"12010560176011",3.00,"01/07/2012",
"12010560176011",3.90,"28/02/2012","30/06/2012"
"12010560176052",3.00,"01/07/2012",
"12010900000011",3.00,"01/07/2012",
"12010900000011",6.70,"28/02/2012","30/06/2012"
"12010900000051",3.00,"01/07/2012",
"12010900000051",1.70,"28/02/2012","30/06/2012"
"12010900000052",3.00,"01/07/2012",
"12011000000031",3.00,"01/07/2012",
"12011000000031",5.00,"28/02/2012","30/06/2012"
"12011000000052",3.00,"01/07/2012",
"12011120000052",3.00,"01/07/2012",
"12011860000031",3.00,"01/07/2012",
"12011860000031",5.00,"28/02/2012","30/06/2012"
"12011880000052",3.00,"01/07/2012",
"12012320000031",3.00,"01/07/2012",
"12012320000031",5.00,"28/02/2012","30/06/2012"
"12012320000051",3.00,"01/07/2012",
"12012320000051",2.00,"28/02/2012","30/06/2012"
"12012320000052",3.00,"01/07/2012",
"12013400000052",3.00,"01/07/2012",
"12013560000011",3.00,"01/07/2012",
"12013560000011",6.70,"28/02/2012","30/06/2012"
"12013560000021",3.00,"01/07/2012",
"12013560000021",6.70,"28/02/2012","30/06/2012"
"12013560000031",3.00,"01/07/2012",
"12013560000031",6.70,"28/02/2012","30/06/2012"
"12013560000051",3.00,"01/07/2012",
"12013560000051",1.70,"28/02/2012","30/06/2012"
"12013560000052",3.00,"01/07/2012",
"12013560000852",3.00,"01/07/2012",
"12013680000052",3.00,"01/07/2012",
"12013740000011",3.00,"01/07/2012",
"12013740000011",3.90,"28/02/2012","30/06/2012"
"12013740000052",3.00,"01/07/2012",
"12013760000011",3.00,"01/07/2012",
"12013760000011",5.50,"28/02/2012","30/06/2012"
"12013760000051",3.00,"01/07/2012",
"12014300000052",3.00,"01/07/2012",
"12014720000041",3.00,"01/07/2012",
"12014720000041",3.90,"28/02/2012","30/06/2012"
"12014720000052",3.00,"01/07/2012",
"12014760000011",3.00,"01/07/2012",
"12014760000011",3.90,"28/02/2012","30/06/2012"
"12014760000052",3.00,"01/07/2012",
"12015060000021",3.00,"01/07/2012",
"12015060000021",3.90,"28/02/2012","30/06/2012"
"12015080000011",3.00,"01/07/2012",
"12015080000011",3.90,"28/02/2012","30/06/2012"
"12015080000021",3.00,"01/07/2012",
"12015080000021",3.90,"28/02/2012","30/06/2012"
"12015080000051",3.00,"01/07/2012",
"12015080000051",1.70,"28/02/2012","30/06/2012"
"12015080000052",3.00,"01/07/2012",
"12015080000821",3.90,"28/02/2012","30/06/2012"
"12015080000821",3.00,"01/07/2012",
"12015080244011",3.00,"01/07/2012",
"12015080244011",3.90,"28/02/2012","30/06/2012"
"12015080244012",3.00,"01/07/2012","31/12/2012"
"12015080244051",3.00,"01/07/2012",
"12015080244051",1.70,"28/02/2012","30/06/2012"
"12015080244052",3.00,"01/07/2012",
"12015140000052",3.00,"01/07/2012",
"12015420000052",3.00,"01/07/2012",
"12015420214052",3.00,"01/07/2012",
"12015420278052",3.00,"01/07/2012",
"12015620000052",3.00,"01/07/2012",
"12016720000011",3.00,"01/07/2012",
"12016720000011",3.90,"28/02/2012","30/06/2012"
"12016720000051",3.00,"01/07/2012",
"12016720000051",1.70,"28/02/2012","30/06/2012"
"12016720000052",3.00,"01/07/2012",
"12016740000011",3.00,"01/07/2012",
"12016740000052",3.00,"01/07/2012",
"12017100000031",3.00,"01/07/2012",
"12017100000031",5.00,"28/02/2012","30/06/2012"
"12017100000051",3.00,"01/07/2012",
"12017100000051",2.00,"28/02/2012","30/06/2012"
"12017100000052",3.00,"01/07/2012",
"12017140000052",3.00,"01/07/2012",
"12010080000052",3.00,"01/07/2012",
"12010100000052",3.00,"01/07/2012",
"12010140000052",3.00,"01/07/2012",
"12010300000052",3.00,"01/07/2012",
