nomeIF,Categoria,private-public
CRESOL GETÚLIO VARGAS,Cooperativa de Crédito,Private
CRESOL GOIÁS,Cooperativa de Crédito,Private
CRESOL ITATIBA DO SUL,Cooperativa de Crédito,Private
CRESOL JACUTINGA,Cooperativa de Crédito,Private
CRESOL LARANJEIRAS DO SUL,Cooperativa de Crédito,Private
CRESOL MARMELEIRO,Cooperativa de Crédito,Private
CRESOL PLANALTO SERRA,Cooperativa de Crédito,Private
CRESOL SÃO JOÃO,Cooperativa de Crédito,Private
CRESOL SÃO VALENTIM,Cooperativa de Crédito,Private
SICOOB AMAZÔNIA,Cooperativa de Crédito,Private
SICOOB CENTRO-SERRANO,Cooperativa de Crédito,Private
SICOOB COCRED CC,Cooperativa de Crédito,Private
SICOOB CREDICOOP,Cooperativa de Crédito,Private
SICOOB CREDIGOIÁS CC,Cooperativa de Crédito,Private
SICOOB CREDILEITE,Cooperativa de Crédito,Private
SICOOB CREDIROCHAS,Cooperativa de Crédito,Private
SICOOB CREDISUL,Cooperativa de Crédito,Private
SICOOB CREDIUNIÃO,Cooperativa de Crédito,Private
SICOOB FLUMINENSE,Cooperativa de Crédito,Private
SICOOB LESTE CAPIXABA,Cooperativa de Crédito,Private
SICOOB NORTE,Cooperativa de Crédito,Private
SICOOB SUL,Cooperativa de Crédito,Private
SICOOB SUL-LITORÂNEO,Cooperativa de Crédito,Private
SICOOB SUL-SERRANO,Cooperativa de Crédito,Private
SICREDI CREDIGRANDE MG,Cooperativa de Crédito,Private
SICREDI ESSÊNCIA,Cooperativa de Crédito,Private
SICREDI INTERESTADOS RS/ES,Cooperativa de Crédito,Private
SICREDI SERRANA RS,Cooperativa de Crédito,Private
SICREDI UNIAO RS/ES,Cooperativa de Crédito,Private
SOC CC SICOOB COOPERE,Cooperativa de Crédito,Private
STARA FINANCEIRA S.A. - CFI,"Sociedade de Crédito, Financiamento e Investimento",Private
COOP PROD DE LEITE SERAFINA LT,Cooperativa de Crédito,Private
