#CODIGO,DESCRICAO,VALOR,DATA_INICIO,DATA_FIM
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",9.50,"01/07/2016","30/06/2017"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",8.75,"01/07/2015","30/06/2016"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",6.50,"01/07/2014","30/06/2015"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",5.50,"01/07/2012","30/06/2014"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",6.75,"01/11/2011","30/06/2012"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",6.00,"01/07/2020",
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",7.00,"01/07/2019","30/06/2020"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",6.00,"01/07/2018","30/06/2019"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",7.50,"01/07/2017","30/06/2018"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",8.50,"01/07/2016","30/06/2017"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",8.00,"01/07/2015","30/06/2016"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",5.00,"04/01/2014","30/06/2015"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",8.83,"02/01/2014","03/01/2014"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",5.00,"01/07/2012","01/01/2014"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",5.50,"01/11/2011","30/06/2012"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",21.92,"01/12/2015",
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",21.96,"01/11/2015","30/11/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",22.79,"01/10/2015","31/10/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",18.33,"01/08/2015","30/09/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",18.21,"01/07/2015","31/07/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",17.87,"15/06/2015","30/06/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",10.00,"01/11/2011","12/06/2015"
"0158","PROCAP-CRED (PROGRAMA DE CAPITALIZAÇÃO DE COOPERATIVAS DE CRÉDITO)",4.00,"04/06/2012",
"0158","PROCAP-CRED (PROGRAMA DE CAPITALIZAÇÃO DE COOPERATIVAS DE CRÉDITO)",10.00,"01/11/2011","04/06/2012"
