#CNPJ_IF;NOME_IF;SEGMENTO_IF
17351180;BCO TRIANGULO S.A.;BANCO PRIVADO
17359351;STARA FINANCEIRA S.A. - CFI;SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO
17361536;CC REG. COLAR METROPOLITANO VALE DO AÇO LTDA;COOPERATIVA DE CRÉDITO
17617302;CCLA DE POSSE/GO E REGIÃO - SICREDI INTEGRAÇÃO;COOPERATIVA DE CRÉDITO
18810176;COOPERATIVA AGROPECUARIA DE BOM DESPACHO LTDA;
18966739;CC COPERSUL LTDA;COOPERATIVA DE CRÉDITO
19449602;CC CREDCOOPER LTDA;COOPERATIVA DE CRÉDITO
19869338;CCLA VALE DO AÇO;COOPERATIVA DE CRÉDITO
21198087;COOPCENTRAL CENTRAL CRESOL SICOPER;COOPERATIVA DE CRÉDITO
21661202;CC CREDICAMPO LTDA;COOPERATIVA DE CRÉDITO
21670187;CC CREDIBOM;COOPERATIVA DE CRÉDITO
21682737;CCLA DE CURVELO;COOPERATIVA DE CRÉDITO
21866694;CC CREDINOR;COOPERATIVA DE CRÉDITO
22226476;COOPERATIVA AGRARIA DE MACHADO LIMITADA;
22656789;CC CREDISUDESTE LTDA;COOPERATIVA DE CRÉDITO
22724710;CC CREDIVERTENTES;COOPERATIVA DE CRÉDITO
22749014;CC REGIÃO CENTRAL MG;COOPERATIVA DE CRÉDITO
22753982;CC CREDISETE LTDA;COOPERATIVA DE CRÉDITO
22760839;CC NOSSOCREDITO;COOPERATIVA DE CRÉDITO
23256599;CCR INT SOL DO MATO GROSSO DO SUL;COOPERATIVA DE CRÉDITO
23511655;DEUTSCHE SPARKASSEN LEASING DO BRASIL BM S.A.;BANCO PRIVADO
23623636;CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT;COOPERATIVA DE CRÉDITO
23949522;CC CREDICARPA;COOPERATIVA DE CRÉDITO
24048910;CC CREDINTER;COOPERATIVA DE CRÉDITO
24431221;COOP CRESOL TRANSAMAZÔNICA;COOPERATIVA DE CRÉDITO
24654881;COOP SICREDI UNIÃO MS/TO;COOPERATIVA DE CRÉDITO
24795049;CCLA SUDOESTE GOIANO;COOPERATIVA DE CRÉDITO
24799033;CCLA VALE DO PARANAÍBA;COOPERATIVA DE CRÉDITO
24830879;CCLA VALE DO ARAGUAIA;COOPERATIVA DE CRÉDITO
25353939;CC CREDIALP;COOPERATIVA DE CRÉDITO
25387655;CC CREDIVALE LTDA. - SICOOB CREDIVALE;COOPERATIVA DE CRÉDITO
25387671;CC ALTO PARANAIBA E REGIÃO;COOPERATIVA DE CRÉDITO
25387713;CCLA DA REGIÃO DE  PARÁ DE MINAS;COOPERATIVA DE CRÉDITO
25395435;CC CREDICAF LTDA;COOPERATIVA DE CRÉDITO
25404542;CCLA VALE DO GORUTUBA;COOPERATIVA DE CRÉDITO
25420696;CC CREDINACIONAL LTDA - SICOOB CREDINACIONAL;COOPERATIVA DE CRÉDITO
25528753;C.C CREDIVERDE;COOPERATIVA DE CRÉDITO
25536764;CC CREDPLUS;COOPERATIVA DE CRÉDITO
25606237;CPC VALE DO RIO DOCE;COOPERATIVA DE CRÉDITO
25626490;COOP SICREDI CREDIGRANDE;COOPERATIVA DE CRÉDITO
25683434;CCC MINAS GERAIS - CREDIMINAS;COOPERATIVA DE CRÉDITO
25683475;CCLA VALE DO RIO GRANDE;COOPERATIVA DE CRÉDITO
25743311;CCLA CARMO DO RIO CLARO;COOPERATIVA DE CRÉDITO
25798596;CC CREDIVAR;COOPERATIVA DE CRÉDITO
25863341;COOPERATIVA AGROINDUSTRIAL DE VARGINHA LTDA;
26014175;CC GUARANICREDI;COOPERATIVA DE CRÉDITO
26072728;CC UNIÃO CENTRO OESTE LTDA;COOPERATIVA DE CRÉDITO
26178111;CC UNIÃO CENTRO OESTE LTDA;COOPERATIVA DE CRÉDITO
26178533;CCLA PONTAL DO TRIANGULO;COOPERATIVA DE CRÉDITO
26359745;CC SICOOBMAIS;COOPERATIVA DE CRÉDITO
26408161;COOP SICREDI CENTRO-SUL MS/BA;COOPERATIVA DE CRÉDITO
26408187;COOP SICREDI PANTANAL;COOPERATIVA DE CRÉDITO
26526166;CCLA SUL MARANHENSE - SICOOB SUL MARANHENSE;COOPERATIVA DE CRÉDITO
26529420;COOP SICREDI OURO VERDE MT;COOPERATIVA DE CRÉDITO
26549311;COOP SICREDI INTEGRAÇÃO MT/AP/PA;COOPERATIVA DE CRÉDITO
26555235;COOP SICREDI CELEIRO DO MT;COOPERATIVA DE CRÉDITO
26563270;COOP DE PRIMAVERA DO LESTE;COOPERATIVA DE CRÉDITO
26565770;CCLA OURO VERDE DE MT;COOPERATIVA DE CRÉDITO
26960328;CCLA DO TOCANTINS;COOPERATIVA DE CRÉDITO
28127603;BCO BANESTES S.A.;BANCO PÚBLICO
28145829;BCO DES. DO ES S.A.;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
28195667;BCO ABC BRASIL S.A.;BANCO PRIVADO
30306294;BANCO BTG PACTUAL S.A.;BANCO PRIVADO
31804966;SICOOB COOPERMAIS;COOPERATIVA DE CRÉDITO
31815293;SICOOB NORTE;COOPERATIVA DE CRÉDITO
31880826;BCO GUANABARA S.A.;BANCO PRIVADO
32428294;CCC DO ESP.SANTO - SICOOB ES;COOPERATIVA DE CRÉDITO
32430233;SICOOB CONEXÃO;COOPERATIVA DE CRÉDITO
32467086;SICOOB SUL;COOPERATIVA DE CRÉDITO
32474884;SICOOB SUL-LITORÂNEO;COOPERATIVA DE CRÉDITO
32953317;CCLA DO ARAGUAIA;COOPERATIVA DE CRÉDITO
32983165;COOP SICREDI VL DO CERRADO;COOPERATIVA DE CRÉDITO
32995755;COOP SICREDI SUDOESTE MT/PA;COOPERATIVA DE CRÉDITO
33021064;COOP SICREDI ARAXINGÚ;COOPERATIVA DE CRÉDITO
33022690;COOP SICREDI BIOMAS;COOPERATIVA DE CRÉDITO
33124959;BCO RURAL S.A.;BANCO PRIVADO
33370115;FURNAS;COOPERATIVA DE CRÉDITO
33416108;COOPCENTRAL SICOOB NOVA CENTRAL LTDA.;COOPERATIVA DE CRÉDITO
33479023;BCO CITIBANK S.A.;BANCO PRIVADO
33579731;CCLA CENTRO-SUL GOIANO;COOPERATIVA DE CRÉDITO
33615055;CCLA ANÁPOLIS E REGIÃO;COOPERATIVA DE CRÉDITO
33657248;BNDES;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
35551187;PLANTAE CFI;SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO
35571249;COOP SICREDI EVOLUÇÃO;COOPERATIVA DE CRÉDITO
37255049;SICOOB CREDIGOIÁS CC;COOPERATIVA DE CRÉDITO
37395399;CCLA CENTRO BRASILEIRA LTDA.;COOPERATIVA DE CRÉDITO
37442605;COOP SICREDI GRANDES RIOS;COOPERATIVA DE CRÉDITO
37554441;COOP SICOOB UNI SUL MS;COOPERATIVA DE CRÉDITO
37631058;CCLA DE PALMEIRAS E REGIÃO;COOPERATIVA DE CRÉDITO
38486817;BCO DES. DE MG S.A.;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
38588174;CC CREDICOPE;COOPERATIVA DE CRÉDITO
41180092;COOP SICREDI EXPANSÃO;COOPERATIVA DE CRÉDITO
41669227;CCLA PROD RURAIS TRIÂNGULO;COOPERATIVA DE CRÉDITO
41683228;CCLA SAO GONÇALO DO PARA;COOPERATIVA DE CRÉDITO
41697103;CC CREDILIVRE LTDA. - SICOOB CREDILIVRE;COOPERATIVA DE CRÉDITO
41707258;CCLA SANTO ANTONIO DO MONTE;COOPERATIVA DE CRÉDITO
41753500;CC CARLOS CHAGAS;COOPERATIVA DE CRÉDITO
41805003;CCLA ALTO SÃO FRANCISCO;COOPERATIVA DE CRÉDITO
41931221;SICOOB CREDICOOP;COOPERATIVA DE CRÉDITO
41931445;CC CREDIFOR LTDA;COOPERATIVA DE CRÉDITO
42873828;CC AGROCREDI LTDA;COOPERATIVA DE CRÉDITO
42880617;CC SICOOB CREDITIROS;COOPERATIVA DE CRÉDITO
42887133;CCLA REG SUDESTE MG;COOPERATIVA DE CRÉDITO
42898825;CECM MEDICOS E PROFISSIONAIS AREA SAUDE DO BRASIL;COOPERATIVA DE CRÉDITO
42934794;CC CREDIPIMENTA;COOPERATIVA DE CRÉDITO
44373041;CCR CREDICANA;COOPERATIVA DE CRÉDITO
44469161;COOPECREDI GUARIBA - CC;COOPERATIVA DE CRÉDITO
44746352;CCFC DE BARRA BONITA;COOPERATIVA DE CRÉDITO
45236791;COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS;
46844338;COOPERMOTA COOPERATIVA AGROINDUSTRIAL;
49389307;CC COOPLIVRE;COOPERATIVA DE CRÉDITO
49654502;CCR FORN CANA CATANDUVA LTDA;COOPERATIVA DE CRÉDITO
50585090;BCV - BCO, CRÉDITO E VAREJO S.A.;BANCO PRIVADO
52623311;CCR PLANT CANA REG IGARAPAVA;COOPERATIVA DE CRÉDITO
53236808;CCLA DE ARARAQUARA E REGIÃO;COOPERATIVA DE CRÉDITO
53623781;CC COOPCRED;COOPERATIVA DE CRÉDITO
53923116;CC SICOOB CREDICOONAI;COOPERATIVA DE CRÉDITO
53935029;CCLA SICOOB COOCRELIVRE;COOPERATIVA DE CRÉDITO
54037916;CC CREDICITRUS;COOPERATIVA DE CRÉDITO
54190525;CECM SERV MUN REG METR VALE PARAIBA E LITORAL NORTE;COOPERATIVA DE CRÉDITO
54401286;CC COCRE;COOPERATIVA DE CRÉDITO
57647653;COOP SICREDI FORÇA DOS VENTOS;COOPERATIVA DE CRÉDITO
58160789;BCO SAFRA S.A.;BANCO PRIVADO
58616418;BCO FIBRA S.A.;BANCO PRIVADO
59118133;BCO LUSO BRASILEIRO S.A.;BANCO PRIVADO
59588111;BCO VOTORANTIM S.A.;BANCO PRIVADO
59869560;CC NOSSO - SICOOB NOSSO;COOPERATIVA DE CRÉDITO
60498557;BCO MUFG BRASIL S.A.;BANCO PRIVADO
60701190;ITAÚ UNIBANCO S.A.;BANCO PRIVADO
60746948;BCO BRADESCO S.A.;BANCO PRIVADO
60770336;BCO ALFA DE INVESTIMENTO S.A.;BANCO PRIVADO
60889128;BCO SOFISA S.A.;BANCO PRIVADO
61024352;BANCO VOITER;BANCO PRIVADO
61033106;BCO CREFISA S.A.;BANCO PRIVADO
61186680;BCO BMG S.A.;BANCO PRIVADO
61820817;BCO PAULISTA S.A.;BANCO PRIVADO
62109566;CREDISAN CC;COOPERATIVA DE CRÉDITO
62144175;BCO PINE S.A.;BANCO PRIVADO
62232889;BCO DAYCOVAL S.A;BANCO PRIVADO
62673470;CC SICOOB COOPMIL;COOPERATIVA DE CRÉDITO
63229629;CCR ASCOOB SISAL;COOPERATIVA DE CRÉDITO
64237530;CC CREDIUNA LTDA;COOPERATIVA DE CRÉDITO
64276058;CC CREDINORTE - SICOOB CREDINORTE;COOPERATIVA DE CRÉDITO
64480833;CCLA MARTINHO CAMPOS;COOPERATIVA DE CRÉDITO
65229254;CC COOPACREDI;COOPERATIVA DE CRÉDITO
65239402;CC UNIÃO DO CENTRO OESTE DE MINAS;COOPERATIVA DE CRÉDITO
66193350;C.C.L.A DE MURIAÉ LTDA;COOPERATIVA DE CRÉDITO
66259110;CC CREDIBAM LTDA.;COOPERATIVA DE CRÉDITO
66262643;CCLA DE POMPEU LTDA.;COOPERATIVA DE CRÉDITO
66398496;CC CREDIARA LTDA.;COOPERATIVA DE CRÉDITO
66402207;CCLA DE SÃO ROQUE DE MINAS LTDA.;COOPERATIVA DE CRÉDITO
66463407;CCLA DE ITAÚNA E REGIÃO LTDA;COOPERATIVA DE CRÉDITO
66788142;CC CREDIMOTA;COOPERATIVA DE CRÉDITO
67096909;CC CREDICOCAPEC;COOPERATIVA DE CRÉDITO
67960229;CC CREDIGUAÇU;COOPERATIVA DE CRÉDITO
68512748;CC CREDIESMERALDAS LTDA.;COOPERATIVA DE CRÉDITO
69346856;CECM DOS PROFISSIONAIS DA SAUDE DA REG ALTA MOGIANA;COOPERATIVA DE CRÉDITO
70431630;COOP SICREDI UNIVALES MT/RO;COOPERATIVA DE CRÉDITO
71009237;CCLA GUAPÉ - SICOOB CREDIGUAPÉ;COOPERATIVA DE CRÉDITO
71069587;CC CREDPLUS - SICOOB CREDPLUS;COOPERATIVA DE CRÉDITO
71146450;CCLA CAMPOS GERAIS E CAMPO DO;COOPERATIVA DE CRÉDITO
71154256;CC SACRAMENTO;COOPERATIVA DE CRÉDITO
71154876;CCLA NOROESTE DE MG CREDIPINHO;COOPERATIVA DE CRÉDITO
71207740;CCR IRAI - SICOOB CREDIMIL;COOPERATIVA DE CRÉDITO
71237184;CC CREDIBELO LTDA. - SICOOB CREDIBELO;COOPERATIVA DE CRÉDITO
71238232;CC CENTRO SUL MINEIRO;COOPERATIVA DE CRÉDITO
71243034;COOPERATIVA DE CRÉDITO CREDIJEQUITINHONHA LTDA.;COOPERATIVA DE CRÉDITO
71261184;CCLA REGIÃO DO CAPARAÓ;COOPERATIVA DE CRÉDITO
71297899;CCLA OESTE MINEIRO LTDA-SICOOB;COOPERATIVA DE CRÉDITO
71328769;SICOOB COCRED CC;COOPERATIVA DE CRÉDITO
71378426;CCLA ARAXÁ LTDA - SICOOB COOCREZ;COOPERATIVA DE CRÉDITO
71392047;CC MONTECREDI LTDA.;COOPERATIVA DE CRÉDITO
71419600;CCLA DA REGIÃO DE FRUTAL;COOPERATIVA DE CRÉDITO
71437123;CCR ALTEROSA;COOPERATIVA DE CRÉDITO
71441406;CCLA PEDRO LEOPOLDO;COOPERATIVA DE CRÉDITO
71506513;CC SICOOB ITAPAGIPE;COOPERATIVA DE CRÉDITO
71698674;COOP SICOOB MANTIQUEIRA;COOPERATIVA DE CRÉDITO
73113243;COOP SICREDI MORADA DO SOL SP;COOPERATIVA DE CRÉDITO
73254757;COOP CRESOL QUILOMBO;COOPERATIVA DE CRÉDITO
73326449;COOP LIVRE ADMISSÃO DE ASSOCIADOS SICOOB CRUZ ALTA LTDA;COOPERATIVA DE CRÉDITO
73398646;SOC CC SICOOB COOPERE;COOPERATIVA DE CRÉDITO
73422792;CCLA RUBIATABA REGIAO;COOPERATIVA DE CRÉDITO
73647935;COOP UNIQUE BR LTDA.;COOPERATIVA DE CRÉDITO
73936403;COOP PROD DE LEITE SERAFINA LT;
76059997;COOP SICREDI PROGRESSO PR/SP;COOPERATIVA DE CRÉDITO
76098219;COOPAVEL COOPERATIVA AGROINDUSTRIAL;
76461557;CCR COOPAVEL;COOPERATIVA DE CRÉDITO
76543115;BANCO SISTEMA;BANCO PRIVADO
77984870;COOP SICREDI PLANALT DAS ÁGUAS;COOPERATIVA DE CRÉDITO
78157146;CREDIALIANÇA CCR;COOPERATIVA DE CRÉDITO
78414067;COOP SICREDI VANGUARDA PR/SP/RJ;COOPERATIVA DE CRÉDITO
78483310;CCLA ITAPIRANGA;COOPERATIVA DE CRÉDITO
78825023;CCLAA OESTE CATARINENSE;COOPERATIVA DE CRÉDITO
78825270;CCLA MAXI ALFA;COOPERATIVA DE CRÉDITO
78834975;CCLA DO VALE DO CANOINHAS;COOPERATIVA DE CRÉDITO
78840071;COOP SICOOB CREDIAUC;COOPERATIVA DE CRÉDITO
78858107;CCLAA AURIVERDE-SICOOB CREDIAL;COOPERATIVA DE CRÉDITO
78862083;COOP NOVOS CAMPOS;COOPERATIVA DE CRÉDITO
78865995;CCLA VALE DO RIO DO PEIXE;COOPERATIVA DE CRÉDITO
78907607;COOP SICREDI CENT SUL PR/SC/RJ;COOPERATIVA DE CRÉDITO
79052122;COOP SICREDI ALIANÇA;COOPERATIVA DE CRÉDITO
79063574;COOP SICREDI NORTE SUL;COOPERATIVA DE CRÉDITO
79086997;COOP SICREDI PARANAPANEMA SERRANA PR/SP/RJ;COOPERATIVA DE CRÉDITO
79342069;COOP SICREDI DEXIS;COOPERATIVA DE CRÉDITO
79457883;COOP SICREDI AGROEMPRESARIAL;COOPERATIVA DE CRÉDITO
80160260;CCC SICOOB CENTRAL SC/RS;COOPERATIVA DE CRÉDITO
80959612;CC ALTO VALE DO ITAJAÍ;COOPERATIVA DE CRÉDITO
80959638;CCLA MEIO OESTE CATARINENSE;COOPERATIVA DE CRÉDITO
81011686;CC DO NORTE CATARINENSE E SUL PARANAENSE;COOPERATIVA DE CRÉDITO
81014060;CCLAA ITAIPU SICOOB CREDITAIPU;COOPERATIVA DE CRÉDITO
81016131;CCLA VALE DO VINHO;COOPERATIVA DE CRÉDITO
81054686;COOP SICREDI INTEGRAÇÃO PR/SC;COOPERATIVA DE CRÉDITO
81099491;COOP SICREDI VALE DO PIQUIRI;COOPERATIVA DE CRÉDITO
81115149;COOP SICREDI GRANDES LAGOS;COOPERATIVA DE CRÉDITO
81192106;COOP SICREDI NOSSA TERRA PR/SP;COOPERATIVA DE CRÉDITO
81206039;COOP SICREDI RIO PARANÁ;COOPERATIVA DE CRÉDITO
81292278;CC ORIGINAL - SICOOB ORIGINAL;COOPERATIVA DE CRÉDITO
81367880;CCLA SUL CATARINENSE;COOPERATIVA DE CRÉDITO
81466286;SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;COOPERATIVA DE CRÉDITO
81607046;CCLAA SAO MIGUEL DO OESTE;COOPERATIVA DE CRÉDITO
81706616;COOP SICREDI VLR SUSTENT PR/SP;COOPERATIVA DE CRÉDITO
81723108;CREDICOAMO;COOPERATIVA DE CRÉDITO
82065285;COOP PARQ ARAUCARIAS PR/SC/SP;COOPERATIVA DE CRÉDITO
82133182;CC DO VALE EUROPEU - SICOOB EURO VALE;COOPERATIVA DE CRÉDITO
82527557;COOP SICREDI FRONTEIR PR/SC/SP;COOPERATIVA DE CRÉDITO
82937293;AF DE SC - BADESC;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
83305235;COOPERATIVA AGROINDUSTRIAL ALFA;
83310441;COOPERATIVA CENTRAL AURORA ALIMENTOS;
83315408;COOP SICREDI NORTE;COOPERATIVA DE CRÉDITO
84974278;COOP SICREDI IGUAÇU PR/SC/SP;COOPERATIVA DE CRÉDITO
85291086;CC LITORÂNEA;COOPERATIVA DE CRÉDITO
86389236;COOP SICOOB UNI SUDESTE;COOPERATIVA DE CRÉDITO
86476199;CC SUDESTE MINEIRO - SICOOB CREDISAVI;COOPERATIVA DE CRÉDITO
86512647;COOPERATIVA REGIONAL AGROPECUARIA SUL CATARINENSE;
86564051;CC NOROESTE DE MINAS;COOPERATIVA DE CRÉDITO
86585049;SICOOB CREDILEITE;COOPERATIVA DE CRÉDITO
86791837;SICOOB VALE DOS PINHAIS;COOPERATIVA DE CRÉDITO
86829827;CCLA DO VALE;COOPERATIVA DE CRÉDITO
87067757;COOP SICREDI CENTRO SERRA;COOPERATIVA DE CRÉDITO
87510475;COOP SICREDI ROTA DAS TERRAS RS/MG;COOPERATIVA DE CRÉDITO
87732657;CCLA DE IBIRUBÁ;COOPERATIVA DE CRÉDITO
87733077;COOP SICREDI ESSÊNCIA;COOPERATIVA DE CRÉDITO
87733341;CCLA DO CENTRO SUL DO RGS;COOPERATIVA DE CRÉDITO
87733770;COOP. CRED. POUP. INVEST. CONEXÃO;COOPERATIVA DE CRÉDITO
87755047;CCLA DA QUARTA COLÔNIA DO RGS;COOPERATIVA DE CRÉDITO
87779625;COOPERATIVA DE CRÉDITO COOPERAÇÃO - SICREDI COOPERAÇÃO;COOPERATIVA DE CRÉDITO
87780268;COOP SICREDI UNIESTADOS;COOPERATIVA DE CRÉDITO
87780284;COOP SICREDI VL JAGUA ZN MATA;COOPERATIVA DE CRÉDITO
87781530;SICREDI INTEGRAÇÃO DE ESTADOS RS/SC/MG;COOPERATIVA DE CRÉDITO
87784088;COOP SICREDI SUL MINAS RS/MG;COOPERATIVA DE CRÉDITO
87788394;CCLA DO VALE DO SOTURNO;COOPERATIVA DE CRÉDITO
87789178;CCPI DA REGIÃO DE PALMEIRA DAS MISSÕES;COOPERATIVA DE CRÉDITO
87795639;COOP SICREDI ALIANÇA RS/SC;COOPERATIVA DE CRÉDITO
87853206;COOP SICREDI OURO BRANCO RS/MG;COOPERATIVA DE CRÉDITO
87900411;COOP SICREDI ESPUMOSO RS/MG;COOPERATIVA DE CRÉDITO
87900601;COOP SICREDI BOTUCARAÍ RS/MG;COOPERATIVA DE CRÉDITO
87903316;CCLA SUDOESTE DO RS;COOPERATIVA DE CRÉDITO
88038260;COOP SICREDI PLANALTO RS/MG;COOPERATIVA DE CRÉDITO
88099247;COOP SICREDI RAIZES RS/SC/MG;COOPERATIVA DE CRÉDITO
88471024;COOP SICREDI CENTRO LESTE RS;COOPERATIVA DE CRÉDITO
88530142;COOP DE CRED E INVEST LIBERDADE - SICREDI LIBERDADE;COOPERATIVA DE CRÉDITO
88894548;COOP SICREDI UNIÃO RS;COOPERATIVA DE CRÉDITO
89049738;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOROESTE RS/;COOPERATIVA DE CRÉDITO
89126130;COOP SICREDI REGIÃO DOS VALES;COOPERATIVA DE CRÉDITO
89468565;COOP SICREDI REG PROD RS/SC/MG;COOPERATIVA DE CRÉDITO
89844294;REICHERT AGROPECUARIA LTDA;
89990501;COOP SICREDI IBIRAIARAS RS/MG;COOPERATIVA DE CRÉDITO
90400888;BCO SANTANDER (BRASIL) S.A.;BANCO PRIVADO
90497256;COOP SICREDI INTERESTADOS RS/ES;COOPERATIVA DE CRÉDITO
90608712;COOP SICREDI SERRANA RS;COOPERATIVA DE CRÉDITO
90657289;COOPERATIVA AGRICOLA MISTA GENERAL OSORIO LTDA;
90729369;COOP SICREDI CULTURAS RS/MG;COOPERATIVA DE CRÉDITO
91159764;COOP SICREDI INTEGRAÇÃO RS/MG;COOPERATIVA DE CRÉDITO
91586982;COOP SICREDI PIONEIRA RS;COOPERATIVA DE CRÉDITO
91884981;BANCO JOHN DEERE S.A.;BANCO PRIVADO
91983155;CCLA DE PANAMBI;COOPERATIVA DE CRÉDITO
92555150;COOP SICREDI ALT SERRA RS/SC;COOPERATIVA DE CRÉDITO
92564145;CCLA SANTOAUGUSTENSE;COOPERATIVA DE CRÉDITO
92702067;BCO DO ESTADO DO RS S.A.;BANCO PÚBLICO
92796564;COOP SICREDI ORIGENS RS;COOPERATIVA DE CRÉDITO
92816560;BD REGIONAL DO EXTREMO SUL;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
92894922;BANCO ORIGINAL;BANCO PRIVADO
93136471;CCLA DE AJURICABA;COOPERATIVA DE CRÉDITO
95213211;COOP SICREDI CAMINHO DAS ÁGUAS RS;COOPERATIVA DE CRÉDITO
95424891;COOP SICREDI VALE DO RIO PARDO;COOPERATIVA DE CRÉDITO
95594941;COOP SICREDI REG CENTRO RS/MG;COOPERATIVA DE CRÉDITO
97489280;COOP SICREDI INTEGRAÇÃO BAHIA;COOPERATIVA DE CRÉDITO
