#CODIGO,DESCRICAO
"01","Não Irrigado"
"02","Gotejamento"
"03","Micro-aspersão"
"04","Aspersão"
"05","Xique-Xique"
"06","Pivô"
"07","Canhão"
"08","Auto-Propelido"
"09","Sulcos"
"10","Inundação"
"00","Não se aplica"
"11","Irrigação com cobertura contra a seca MCR 12-2-3-"c""
